"","sitename","distances","rank","quartile","dispersion"
"24","Oa",6.62166919567507,1,1,"Low"
"12","Fagaitua",7.39668433876991,2,1,"Low"
"19","Masausi",8.57975196379839,3,1,"Low"
"5","Amalau",8.8575770606122,4,1,"Low"
"25","Poloa",8.90336846253778,5,1,"Low"
"18","Maloata",9.47653506162402,6,1,"Low"
"17","Leone2",9.48737226213436,7,1,"Low"
"26","Sita",9.90607256123386,8,2,"Med"
"11","Fagaalu",10.6219031857179,9,2,"Med"
"23","Nuuuli",10.6371357460529,10,2,"Med"
"15","Fagatele",10.7317419642133,11,2,"Med"
"3","Alega",11.2462027815081,12,2,"Med"
"7","Amanave",11.335167592605,13,2,"Med"
"13","Fagamalo",11.9339263734773,14,2,"Med"
"9","Amouli",12.2408567546357,15,3,"Med"
"2","Afono",12.2857070214787,16,3,"Med"
"21","Matuu",12.7053999301297,17,3,"Med"
"27","Tafeu",14.2364373557253,18,3,"Med"
"6","Amaluia",14.4526844444854,19,3,"Med"
"10","Aoa",14.4656709965371,20,3,"Med"
"22","Nua",14.4748231271795,21,3,"Med"
"16","Laulii",15.7088058128927,22,4,"High"
"20","Masefau",15.7246431878557,23,4,"High"
"4","Alofau",15.9477099452539,24,4,"High"
"8","Amaua",16.5271494582624,25,4,"High"
"14","Fagasa2",16.9353076464564,26,4,"High"
"28","Vatia",17.2422166008012,27,4,"High"
"1","Aasu",17.5510488388157,28,4,"High"
